Configuration1,257.3236,,
Crates,244.83,1,
Money,177.0815,2,
Routes,144.4445,1,
Government,221.5548,1,
Park,180.731,1,
Flood,22.17375,1,
Religion,95.97359,3,
Traffic,76.33472,3,
Table1 Marker,16.7007,2.002264,0.4544337
Table2 Marker,43.6741,2.182642,-0.8178053
,,,
Configuration2,74.57159,,
Crates,30.66119,1,
Money,32.42389,1,
Routes,24.0994,1,
Government,27.57498,1,
Park,54.94858,2,
Flood,58.64822,2,
Religion,66.49765,1,
Traffic,51.62311,2,
Table1 Marker,11.60001,0.6611983,-0.277926
Table2 Marker,331.8952,2,0.5
,,,
Configuration3,21.67288,,
Crates,0,0,
Money,9.43689,1,
Routes,3.474884,1,
Government,18.06149,1,
Park,0,0,
Flood,0,0,
Religion,0,0,
Traffic,0,0,
Table1 Marker,13.33658,0.8603613,-1.163232
Table2 Marker,353.5681,2,0.5
,,,
Configuration0,49.03571,,
Crates,31.41156,1,
Money,17.91202,1,
Routes,13.63724,1,
Government,0,0,
Park,40.36118,2,
Flood,37.22354,2,
Religion,42.99829,1,
Traffic,34.87341,2,
Table1 Marker,402.6038,2,0.5
Table2 Marker,7.823761,0.5417672,-0.1548767
