Configuration0,133.4615
Crates,77.41114,2
Money,0,0
Routes,0,0
Government,0,0
Park,28.06298,1
Flood,11.4752,2
Religion,0,0
Traffic,0,0
Table1 Marker,116.4101,2.158566,-3.020389
Table2 Marker,10.62498,1.940113,0.3465667

Configuration1,55.17282
Crates,44.11075,2
Money,39.62372,1
Routes,0,0
Government,0,0
Park,40.1115,1
Flood,44.47185,2
Religion,0,0
Traffic,0,0
Table1 Marker,188.6343,2,0.5
Table2 Marker,5.349319,2.136213,0.04115152

Configuration2,32.91209
Crates,12.21107,2
Money,0,0
Routes,22.67468,2
Government,0,0
Park,0,0
Flood,0,0
Religion,0,0
Traffic,0,0
Table1 Marker,5.612946,2.07086,-0.01703167
Table2 Marker,221.5464,2,0.5

Configuration3,19.22469
Crates,0,0
Money,0,0
Routes,0,0
Government,0.3873444,1
Park,11.68784,2
Flood,0,0
Religion,0,0
Traffic,0,0
Table1 Marker,5.187881,1.328649,-0.3260829
Table2 Marker,240.7711,2,0.5

